"pathway","Human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","Human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1222556",82,32,33,24,15,16,15,45,10,10,4,2,2,2
"R-HSA-1226099",82,44,44,39,21,19,15,106,86,86,85,44,30,1
"R-HSA-1227986",68,28,28,24,10,12,4,46,45,45,44,39,33,8
"R-HSA-1227990",36,13,14,11,5,5,2,62,62,62,60,60,52,25
"R-HSA-1234158",15,5,6,5,2,1,0,7,6,6,6,6,4,0
"R-HSA-1234174",86,67,67,61,46,48,36,20,19,19,19,15,13,9
"R-HSA-1234176",72,60,59,54,44,47,36,12,12,12,12,9,9,9
"R-HSA-1236382",26,10,9,8,5,5,2,23,23,23,23,22,22,23
"R-HSA-1236394",82,33,34,29,13,12,0,52,29,30,30,9,10,0
"R-HSA-1236973",13,5,6,6,1,2,0,3,3,3,3,2,2,0
"R-HSA-1236974",173,72,75,60,46,51,40,10,10,10,10,9,8,8
"R-HSA-1236975",195,85,89,74,51,55,40,23,22,22,22,18,13,9
"R-HSA-1236977",82,10,11,5,2,2,0,4,4,4,4,2,2,0
"R-HSA-1236978",53,48,48,47,38,38,33,6,5,5,5,5,1,1
"R-HSA-1237044",23,12,12,9,1,1,0,7,7,7,6,1,1,0
"R-HSA-1237112",24,6,6,6,5,5,5,7,7,7,7,6,6,6
"R-HSA-1247673",16,8,8,6,1,1,0,6,6,6,5,1,1,0
"R-HSA-1250196",36,9,9,6,3,3,0,6,6,6,5,4,4,0
"R-HSA-1250342",15,5,5,4,0,0,0,2,2,2,2,0,0,0
"R-HSA-1250347",21,5,5,3,1,2,0,4,4,4,4,2,4,0
"R-HSA-1251932",6,2,2,2,2,1,0,2,2,2,2,2,1,0
"R-HSA-1251985",47,15,17,15,6,5,0,34,12,13,13,2,2,0
"R-HSA-1253288",11,5,4,4,2,2,0,5,4,4,4,3,3,0
"R-HSA-1257604",319,202,205,185,101,108,59,86,75,75,72,64,69,26
"R-HSA-1266695",31,20,20,17,6,5,2,26,22,22,22,8,8,2
"R-HSA-1266738",1263,707,765,592,299,314,185,556,458,464,466,325,364,117
"R-HSA-1268020",69,31,32,40,18,26,22,14,14,14,14,12,13,13
"R-HSA-1280215",1092,474,476,373,168,168,96,708,609,628,580,204,214,75
"R-HSA-1280218",1005,629,649,524,241,269,132,264,252,253,239,144,151,90
"R-HSA-1295596",19,8,7,6,2,3,2,11,10,10,10,3,7,8
"R-HSA-1296025",6,4,4,4,0,0,0,2,2,2,2,0,0,0
"R-HSA-1296041",31,27,28,27,8,6,1,3,3,3,3,3,3,3
"R-HSA-1296052",10,8,8,7,2,1,0,3,3,3,3,1,1,0
"R-HSA-1296053",5,4,4,4,1,1,0,1,1,1,1,1,1,0
"R-HSA-1296059",31,27,28,27,8,6,1,3,3,3,3,3,3,3
"R-HSA-1296061",6,4,4,4,0,1,0,2,2,2,2,0,2,0
"R-HSA-1296065",38,33,34,33,9,7,1,7,7,7,7,5,4,3
"R-HSA-1296067",4,3,3,3,1,0,0,1,1,1,1,1,0,0
"R-HSA-1296071",107,97,100,89,24,21,2,19,19,19,19,12,10,4
"R-HSA-1296072",44,41,43,35,4,10,0,1,1,1,1,1,1,0
"R-HSA-1296346",13,11,11,10,9,2,1,6,6,6,6,5,2,1
"R-HSA-1299287",2,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299308",4,3,3,2,3,0,0,1,1,1,1,1,0,0
"R-HSA-1299316",3,2,2,2,1,1,1,1,1,1,1,1,1,1
"R-HSA-1299344",2,1,1,1,1,1,0,1,1,1,1,1,1,0
"R-HSA-1299361",3,1,1,1,1,0,0,1,1,1,1,1,0,0
"R-HSA-1299503",4,3,3,3,3,0,0,1,1,1,1,1,0,0
"R-HSA-1300642",13,8,9,1,1,1,0,4,4,4,1,1,1,0
"R-HSA-1300645",6,6,6,2,1,1,0,3,3,3,1,1,1,0
"R-HSA-1306955",6,2,2,2,1,1,0,1,1,1,1,1,1,0
"R-HSA-1307965",6,2,3,3,1,0,0,2,2,2,2,2,0,0
"R-HSA-1358803",16,5,4,4,2,4,0,8,8,8,8,6,8,0
"R-HSA-1362277",25,16,16,15,8,8,2,12,12,12,12,12,12,12
"R-HSA-1362300",20,12,12,12,6,6,1,8,8,8,8,8,8,1
"R-HSA-1362409",25,9,9,9,8,9,8,6,5,5,5,5,5,5
"R-HSA-1368071",5,2,3,3,0,1,1,1,1,1,1,0,1,1
"R-HSA-1368082",26,11,12,10,5,8,2,4,2,1,2,2,2,1
"R-HSA-1368108",43,12,14,11,3,6,2,20,4,4,4,1,1,1
"R-HSA-1369007",10,4,4,4,3,4,1,2,2,2,2,2,2,1
"R-HSA-1369062",29,16,16,10,5,8,3,11,11,11,7,3,5,2
"R-HSA-139853",22,14,14,13,4,2,0,5,5,5,5,4,3,0
"R-HSA-139910",5,3,3,3,1,1,1,2,1,1,1,1,1,1
"R-HSA-139915",10,6,6,6,1,2,0,5,4,4,4,2,4,0
"R-HSA-140179",22,3,3,2,1,1,0,6,5,5,4,2,2,0
"R-HSA-140180",9,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-140342",13,12,12,13,4,8,3,12,12,12,12,8,12,5
"R-HSA-140534",20,7,8,5,0,1,0,9,9,9,9,0,9,0
"R-HSA-140834",6,4,4,4,0,1,0,8,8,8,8,0,4,0
"R-HSA-140837",26,19,21,18,3,6,1,24,24,24,24,9,11,5
"R-HSA-140875",25,17,18,12,3,4,0,29,29,29,28,13,15,0
"R-HSA-140877",43,30,33,25,5,7,1,61,61,61,60,22,30,5
"R-HSA-141333",13,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-141334",13,1,1,1,1,1,0,3,2,2,2,2,2,0
"R-HSA-141405",21,17,18,16,14,15,14,3,3,3,3,3,3,3
"R-HSA-141424",94,79,83,74,23,27,17,4,4,4,4,4,4,4
"R-HSA-141430",21,17,18,16,14,15,14,2,2,2,2,2,2,2
"R-HSA-141444",94,79,83,74,23,27,17,4,4,4,4,4,4,4
"R-HSA-1428517",238,162,164,159,76,136,45,67,61,61,60,50,56,28
"R-HSA-1430728",3646,1771,1833,1636,891,922,501,2260,1810,1830,1681,1128,1083,638
"R-HSA-1433557",51,28,29,24,8,9,0,39,31,32,30,13,14,0
"R-HSA-1433559",18,9,10,9,3,4,0,8,7,8,8,3,4,0
"R-HSA-1433617",12,6,6,6,0,1,0,3,3,3,3,0,1,0
"R-HSA-1442490",69,54,58,45,13,10,0,34,34,34,33,24,16,0
"R-HSA-1445148",81,49,49,41,29,28,14,15,11,11,10,10,11,4
"R-HSA-1461957",40,17,17,2,0,1,0,5,5,5,2,0,1,0
"R-HSA-1461973",51,22,22,5,0,1,0,19,16,16,4,0,1,0
"R-HSA-1462054",11,5,5,3,0,0,0,12,9,9,2,0,0,0
"R-HSA-1474151",37,8,8,7,4,5,2,16,7,7,7,4,7,4
"R-HSA-1474165",123,50,61,32,18,18,14,24,22,23,17,17,15,13
"R-HSA-1474228",148,111,122,99,24,19,0,105,105,105,100,74,50,0
"R-HSA-1474244",329,247,264,226,45,46,1,319,309,310,300,165,142,1
"R-HSA-1474290",104,82,87,72,15,14,0,77,68,69,65,29,26,0
"R-HSA-1475029",17,12,12,8,2,2,0,8,8,8,8,4,4,0
"R-HSA-1480926",23,12,12,9,1,1,0,13,13,13,11,2,2,0
"R-HSA-1482788",40,26,27,19,8,8,3,9,9,9,9,7,6,4
"R-HSA-1482798",18,6,6,6,5,4,1,12,9,9,9,8,6,4
"R-HSA-1482801",31,21,22,14,5,3,4,8,8,8,7,4,4,3
"R-HSA-1482839",42,26,27,20,8,6,4,9,9,9,9,6,5,5
"R-HSA-1482883",18,7,6,5,3,3,2,8,8,8,7,2,2,2
"R-HSA-1482922",25,16,17,10,3,2,2,6,6,6,6,3,3,2
"R-HSA-1482925",26,17,18,11,4,3,3,10,10,10,9,5,3,7
"R-HSA-1483076",5,1,1,1,1,1,1,1,1,1,1,1,1,1
"R-HSA-1483101",8,2,2,2,1,1,0,2,2,2,2,1,1,0
"R-HSA-1483115",18,8,8,6,0,0,3,6,5,5,5,0,0,3
"R-HSA-1483148",21,6,6,5,4,4,2,5,2,2,2,2,2,2
"R-HSA-1483152",9,1,1,1,0,0,0,3,2,2,2,0,0,0
"R-HSA-1483166",65,37,39,31,14,15,7,17,17,17,16,10,9,6
"R-HSA-1483171",2,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-1483191",55,25,25,22,14,12,9,18,18,18,17,10,10,7
"R-HSA-1483196",3,1,1,1,1,0,0,4,4,4,4,4,0,0
"R-HSA-1483206",222,116,117,102,57,52,32,133,119,119,114,68,58,50
"R-HSA-1483213",33,10,10,9,5,5,4,9,6,6,6,3,4,3
"R-HSA-1483226",14,5,5,4,3,2,1,3,3,3,3,2,2,1
"R-HSA-1483248",14,5,5,5,4,4,3,5,5,5,5,5,5,2
"R-HSA-1483249",90,44,45,35,20,22,9,71,53,53,51,39,38,21
"R-HSA-1483255",112,70,73,66,30,31,12,89,78,78,71,54,53,25
"R-HSA-1483257",315,185,189,167,86,83,44,218,193,193,181,118,111,75
"R-HSA-1489509",53,38,38,34,12,23,3,28,28,28,23,17,26,6
"R-HSA-1500620",92,35,36,22,14,16,14,15,14,14,13,13,13,13
"R-HSA-1500931",133,92,96,80,27,26,1,60,56,58,52,36,34,3
"R-HSA-1502540",17,9,9,9,2,3,1,10,10,10,10,3,10,1
"R-HSA-1538133",38,21,21,20,12,11,5,27,27,27,27,27,27,18
"R-HSA-156580",263,82,84,66,34,27,13,72,61,61,54,25,20,13
"R-HSA-156581",52,13,13,12,7,4,4,13,12,12,11,5,3,3
"R-HSA-156582",16,2,2,2,0,0,0,4,4,4,4,0,0,0
"R-HSA-156584",72,18,18,17,7,5,1,24,18,18,18,6,4,1
"R-HSA-156587",24,5,6,4,2,0,0,6,5,5,5,2,0,0
"R-HSA-156588",58,15,15,4,3,3,2,11,10,10,4,3,3,3
"R-HSA-156590",68,30,31,28,16,16,6,14,12,12,12,9,10,6
"R-HSA-1566948",46,38,41,38,4,10,0,17,17,17,17,7,10,0
"R-HSA-1566977",7,4,4,5,0,1,0,3,3,3,3,0,3,0
"R-HSA-156711",23,13,14,12,9,8,3,15,14,14,13,7,8,7
"R-HSA-156827",120,102,102,93,94,94,84,3,3,3,3,3,3,3
"R-HSA-156842",102,83,83,74,73,76,73,9,6,6,6,4,6,6
"R-HSA-156902",97,80,80,71,73,73,71,5,4,4,4,4,4,4
"R-HSA-157118",259,130,142,117,76,78,44,154,134,135,119,79,106,30
"R-HSA-157579",111,69,72,59,39,39,35,34,34,34,34,31,32,30
"R-HSA-157858",56,38,38,22,11,9,5,24,23,23,23,10,7,7
"R-HSA-15869",256,84,89,84,48,44,29,141,116,122,115,75,73,44
"R-HSA-1592230",128,56,59,55,30,39,22,36,32,32,32,11,26,7
"R-HSA-159227",39,29,30,27,22,28,20,3,3,3,3,3,3,3
"R-HSA-159230",40,30,31,28,23,29,20,3,3,3,3,3,3,3
"R-HSA-159231",46,35,36,33,28,34,26,3,3,3,3,3,3,3
"R-HSA-159234",47,36,37,34,29,35,26,9,9,9,9,9,9,9
"R-HSA-159236",81,66,68,61,46,56,20,4,4,4,4,4,4,4
"R-HSA-1592389",35,25,28,23,7,4,0,27,27,27,25,19,11,0
"R-HSA-159418",39,14,14,10,4,1,1,17,16,16,12,4,1,1
"R-HSA-159424",24,5,6,4,2,0,0,6,5,5,5,2,0,0
"R-HSA-159740",15,9,9,7,2,4,0,9,9,9,7,2,9,0
"R-HSA-159763",9,5,5,4,1,3,0,9,5,5,4,1,3,0
"R-HSA-159782",10,10,10,9,3,5,0,9,9,9,9,9,9,0
"R-HSA-159854",16,11,11,9,3,6,0,27,23,23,20,12,21,0
"R-HSA-1606322",23,12,13,11,1,5,0,11,9,9,9,1,7,0
"R-HSA-1606341",7,4,4,3,0,1,0,6,6,6,6,0,4,0
"R-HSA-1614517",22,6,6,4,4,4,1,6,6,6,4,4,4,1
"R-HSA-1614558",52,11,13,9,10,10,4,23,19,21,16,17,14,11
"R-HSA-1614603",11,2,2,2,2,2,2,2,2,2,2,2,2,2
"R-HSA-1614635",93,24,26,21,19,17,12,37,33,35,29,27,23,21
"R-HSA-162582",2997,2083,2162,1880,708,761,286,2454,2249,2253,2158,1512,1505,670
"R-HSA-162585",9,1,1,1,0,1,1,2,2,2,2,0,2,2
"R-HSA-162587",179,131,133,124,101,110,91,117,102,102,102,68,94,92
"R-HSA-162588",37,25,24,22,16,16,12,4,3,3,3,3,3,3
"R-HSA-162589",11,1,1,1,0,1,1,12,12,12,12,0,12,12
"R-HSA-162592",15,7,7,7,2,3,3,14,12,12,12,3,5,5
"R-HSA-162594",26,11,12,12,4,5,5,39,37,37,37,4,30,30
"R-HSA-162599",164,121,122,113,97,106,87,78,65,65,65,64,64,62
"R-HSA-162658",17,9,10,10,8,6,4,6,6,6,6,6,6,5
"R-HSA-162699",7,3,3,3,0,3,0,2,1,1,1,0,1,0
"R-HSA-162710",36,15,16,14,5,12,6,11,10,10,9,5,8,6
"R-HSA-162791",10,7,7,0,0,0,0,2,2,2,0,0,0,0
"R-HSA-162906",264,202,206,191,153,163,137,160,143,143,143,97,124,119
"R-HSA-162909",151,108,110,101,78,84,69,54,50,50,50,38,39,36
"R-HSA-1630316",182,108,116,109,26,42,1,88,81,85,85,34,63,1
"R-HSA-163125",115,76,76,19,7,18,8,16,14,14,11,6,10,7
"R-HSA-163200",153,118,120,118,48,105,28,31,28,28,28,20,26,9
"R-HSA-163210",23,18,18,17,14,15,12,3,3,3,3,3,3,3
"R-HSA-163282",3,3,3,3,0,2,0,2,2,2,2,0,1,0
"R-HSA-1632852",150,107,109,100,65,69,46,87,80,80,80,73,75,70
"R-HSA-163316",1,1,1,1,0,1,0,1,1,1,1,0,1,0
"R-HSA-163358",7,4,4,4,3,4,2,5,3,3,3,3,3,3
"R-HSA-163359",40,30,31,29,8,16,3,6,6,6,6,5,5,2
"R-HSA-163560",42,20,19,16,8,6,3,17,13,12,8,7,6,4
"R-HSA-163615",23,16,16,14,5,13,2,4,4,4,4,3,3,2
"R-HSA-163680",11,6,7,6,1,0,2,4,4,4,4,3,0,3
"R-HSA-163685",145,95,97,92,37,41,13,62,59,59,59,50,48,33
"R-HSA-163754",10,2,2,2,2,2,1,3,3,3,3,3,3,1
"R-HSA-163765",9,3,3,3,3,3,0,6,6,6,6,6,6,0
"R-HSA-163767",9,6,6,6,4,4,2,4,4,4,4,4,4,4
"R-HSA-1638074",52,29,30,28,5,9,0,16,15,15,15,6,13,0
"R-HSA-1638091",88,47,53,48,17,25,0,33,29,33,33,17,32,0
"R-HSA-163841",74,35,35,31,14,15,9,40,34,35,30,20,28,7
"R-HSA-1640170",734,522,536,479,261,299,206,449,415,416,411,368,373,323
"R-HSA-1643685",2431,1253,1306,1133,601,655,386,1632,1153,1163,1097,733,788,434
"R-HSA-1643713",32,16,15,13,5,5,2,42,41,41,41,40,39,40
"R-HSA-164378",23,16,16,15,6,13,2,2,2,2,2,2,2,1
"R-HSA-164516",11,1,1,1,0,1,1,8,8,8,8,0,8,8
"R-HSA-164525",8,1,1,1,0,1,1,4,4,4,4,0,4,4
"R-HSA-164843",13,5,5,5,2,2,2,3,3,3,3,3,3,3
"R-HSA-164938",22,18,19,15,8,7,6,15,15,15,15,12,11,9
"R-HSA-164939",3,2,2,2,1,1,0,3,3,3,3,2,2,0
"R-HSA-164940",11,7,8,6,3,3,3,4,4,4,4,3,3,3
"R-HSA-164944",9,5,6,5,3,2,1,5,5,5,5,2,2,1
"R-HSA-164952",29,22,24,19,11,9,7,20,20,20,20,14,13,10
"R-HSA-165054",45,27,28,26,22,26,20,10,8,8,8,8,8,8
"R-HSA-1650814",76,59,63,54,8,6,0,51,46,47,43,19,17,0
"R-HSA-165158",7,4,4,4,3,2,1,3,3,3,3,3,3,2
"R-HSA-165159",50,37,38,32,22,25,17,29,29,29,27,26,27,24
"R-HSA-165160",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-165181",6,2,2,0,0,2,0,2,2,2,0,0,2,0
"R-HSA-1655829",87,38,40,35,19,23,19,52,49,49,48,31,34,19
"R-HSA-166016",151,89,95,73,28,32,14,95,81,87,78,36,65,30
"R-HSA-166020",3,2,2,0,1,0,0,2,2,2,0,2,0,0
"R-HSA-1660499",69,45,48,46,16,17,5,33,31,31,31,19,21,8
"R-HSA-1660502",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660508",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660510",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660514",32,17,17,14,10,9,7,11,11,11,9,8,8,7
"R-HSA-1660516",31,15,15,11,8,8,4,13,13,13,11,9,9,5
"R-HSA-1660517",22,11,11,7,5,5,2,7,7,7,4,4,4,1
"R-HSA-1660524",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660537",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-166058",118,68,69,58,23,26,12,64,58,58,57,27,49,28
"R-HSA-1660661",80,41,42,42,23,19,14,32,30,30,30,24,20,17
"R-HSA-1660662",86,41,39,40,22,18,2,32,31,30,30,22,18,2
"R-HSA-166166",107,65,66,56,25,26,12,60,51,57,50,29,40,18
"R-HSA-166187",18,6,6,6,1,2,1,9,6,6,6,4,4,2
"R-HSA-166208",28,24,24,23,16,18,11,8,8,8,8,7,6,6
"R-HSA-1663150",17,9,8,9,0,0,0,2,2,2,2,0,0,0
"R-HSA-166520",166,81,83,76,35,29,12,164,148,149,143,96,64,26
"R-HSA-166658",156,61,69,53,8,9,0,71,66,68,66,29,48,0
"R-HSA-166662",15,4,5,3,0,0,0,6,6,6,6,0,0,0
"R-HSA-166663",120,38,44,31,2,2,0,21,19,20,20,6,7,0
"R-HSA-166665",8,7,8,7,0,1,0,5,5,5,5,0,5,0
"R-HSA-166786",111,33,37,24,0,0,0,8,8,8,8,0,0,0
"R-HSA-167021",5,2,2,2,1,1,0,3,3,3,3,2,2,0
"R-HSA-167044",26,11,11,9,4,4,1,10,9,9,7,3,5,1
"R-HSA-167060",5,4,4,3,1,1,0,5,5,5,5,1,1,0
"R-HSA-167152",50,44,43,40,37,41,35,2,2,2,2,2,2,2
"R-HSA-167158",37,32,32,31,28,32,28,5,5,5,5,5,5,5
"R-HSA-167160",29,26,26,26,26,26,26,5,5,5,5,5,5,5
"R-HSA-167161",52,43,45,43,41,42,40,4,4,4,4,4,4,4
"R-HSA-167162",52,43,45,43,41,42,40,9,9,9,9,9,9,9
"R-HSA-167169",52,42,41,38,35,39,34,15,15,15,15,15,15,15
"R-HSA-167172",81,66,67,62,57,62,54,47,47,47,47,47,47,47
"R-HSA-167200",49,42,41,38,35,39,34,5,5,5,5,5,5,5
"R-HSA-167238",39,30,29,27,23,27,22,2,2,2,2,2,2,2
"R-HSA-167242",27,22,22,21,18,22,18,2,2,2,2,2,2,2
"R-HSA-167243",39,30,29,27,23,27,22,3,3,3,3,3,3,3
"R-HSA-167246",52,42,41,38,35,39,34,8,8,8,8,8,8,8
"R-HSA-167287",40,32,31,29,25,29,23,3,3,3,3,3,3,3
"R-HSA-167290",40,32,31,29,25,29,23,2,2,2,2,2,2,2
"R-HSA-167590",10,9,9,8,5,4,3,5,5,5,5,4,3,3
"R-HSA-167826",8,5,5,5,1,2,0,6,3,3,3,3,3,0
"R-HSA-167827",11,5,5,5,1,2,0,1,1,1,1,1,1,0
"R-HSA-1679131",16,12,12,11,3,3,0,7,7,7,7,4,4,0
"R-HSA-168138",106,64,64,57,26,27,15,68,60,60,59,29,48,30
"R-HSA-168142",94,57,56,51,23,24,12,59,52,52,51,27,44,26
"R-HSA-168164",102,64,65,57,25,26,12,61,51,57,57,29,40,18
"R-HSA-168176",94,57,56,51,23,24,12,59,52,52,51,27,44,26
"R-HSA-168179",121,70,71,60,23,26,12,66,59,59,58,27,50,28
"R-HSA-168181",103,61,61,54,23,24,12,66,58,58,55,28,47,29
"R-HSA-168188",118,68,69,58,23,26,12,66,59,59,58,27,50,28
"R-HSA-168249",1334,814,851,684,324,352,186,710,592,608,540,279,372,155
"R-HSA-168255",200,130,131,121,116,120,109,59,20,20,21,19,18,17
"R-HSA-168256",2684,1506,1560,1238,561,604,297,1623,1400,1436,1308,591,693,295
"R-HSA-168268",20,2,2,2,2,2,1,21,1,1,1,1,1,1
"R-HSA-168270",18,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-168271",48,26,27,25,20,24,18,4,4,4,4,3,3,3
"R-HSA-168273",176,118,119,108,105,109,102,14,6,6,6,5,5,6
"R-HSA-168274",54,26,27,26,22,26,19,5,2,2,3,3,3,2
"R-HSA-168275",20,1,1,1,1,1,1,1,1,1,1,1,1,1
