"pathway","Human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","Human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1236382",26,10,10,9,5,6,2,23,23,23,23,22,22,22
"R-HSA-1236394",82,34,38,35,11,12,1,52,29,30,30,10,18,2
"R-HSA-1236973",13,5,6,6,2,2,0,3,3,3,3,2,2,0
"R-HSA-1236974",173,72,74,65,44,52,36,10,10,10,10,9,9,7
"R-HSA-1236975",195,84,87,79,46,55,36,23,22,22,22,12,13,8
"R-HSA-1236977",82,8,8,7,0,1,0,4,4,4,4,0,1,0
"R-HSA-1236978",53,48,48,46,34,37,32,6,5,5,5,1,1,1
"R-HSA-1237044",24,12,12,10,0,1,0,8,8,8,8,0,1,0
"R-HSA-1237112",24,6,6,6,5,5,4,7,7,7,7,6,6,4
"R-HSA-1247673",16,8,8,7,0,1,0,6,6,6,6,0,1,0
"R-HSA-1250196",36,10,12,9,3,4,1,6,6,6,5,4,4,2
"R-HSA-1250342",15,6,8,7,1,1,0,2,2,2,2,2,2,0
"R-HSA-1250347",21,6,8,6,1,3,1,4,4,4,4,2,4,2
"R-HSA-1251932",6,2,2,2,2,1,0,2,2,2,2,2,1,0
"R-HSA-1251985",47,16,20,19,6,6,0,34,12,13,13,2,3,0
"R-HSA-1253288",11,5,5,5,1,3,0,5,4,4,4,2,3,0
"R-HSA-1257604",321,206,210,190,94,119,57,86,75,75,74,63,70,25
"R-HSA-1266695",31,19,20,17,4,5,0,26,22,22,22,6,8,0
"R-HSA-1266738",1304,686,723,583,296,319,176,594,478,489,465,354,368,125
"R-HSA-1268020",69,30,31,40,19,26,20,14,14,14,14,11,13,13
"R-HSA-1280215",1115,483,490,387,156,175,79,740,642,656,606,222,244,87
"R-HSA-1280218",1012,630,649,521,239,280,126,265,256,257,240,140,160,94
"R-HSA-1295596",19,8,8,6,1,5,0,11,10,10,10,1,8,0
"R-HSA-1296025",6,4,4,4,0,1,1,2,2,2,2,0,1,1
"R-HSA-1296041",31,28,29,28,7,8,1,3,3,3,3,3,3,3
"R-HSA-1296052",10,8,8,7,2,1,0,3,3,3,3,1,1,0
"R-HSA-1296053",5,4,4,4,1,2,0,1,1,1,1,1,1,0
"R-HSA-1296059",31,28,29,28,7,8,1,3,3,3,3,3,3,3
"R-HSA-1296061",6,4,4,4,0,1,0,3,3,3,3,0,3,0
"R-HSA-1296065",38,34,35,34,9,10,2,7,7,7,7,5,5,4
"R-HSA-1296067",4,3,3,3,1,0,0,1,1,1,1,1,0,0
"R-HSA-1296071",107,97,99,90,22,27,3,20,20,20,20,11,13,5
"R-HSA-1296072",44,40,41,34,6,10,0,1,1,1,1,1,1,0
"R-HSA-1296346",13,11,11,11,5,5,1,6,6,6,6,4,3,1
"R-HSA-1299287",2,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299308",4,3,3,3,1,0,0,1,1,1,1,1,0,0
"R-HSA-1299316",3,2,2,2,2,2,1,1,1,1,1,1,1,1
"R-HSA-1299344",2,1,1,1,1,1,0,1,1,1,1,1,1,0
"R-HSA-1299361",3,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299503",4,3,3,3,1,2,0,1,1,1,1,1,1,0
"R-HSA-1300642",13,8,9,1,1,1,0,4,4,4,1,1,1,0
"R-HSA-1300645",6,6,6,2,1,1,0,3,3,3,1,1,1,0
"R-HSA-1306955",6,3,4,4,1,2,0,1,1,1,1,1,1,0
"R-HSA-1307965",6,2,3,2,1,0,0,2,2,2,2,2,0,0
"R-HSA-1358803",16,6,7,7,1,6,0,8,8,8,8,2,8,0
"R-HSA-1362277",25,16,16,14,8,9,2,12,12,12,12,12,12,12
"R-HSA-1362300",20,12,12,11,6,6,1,8,8,8,8,8,8,1
"R-HSA-1362409",25,9,9,9,8,9,8,6,5,5,5,5,5,5
"R-HSA-1368071",5,2,3,3,1,1,0,1,1,1,1,1,1,0
"R-HSA-1368082",26,11,13,12,5,9,0,4,2,2,2,2,2,0
"R-HSA-1368108",43,13,15,14,3,8,0,20,20,20,20,1,20,0
"R-HSA-1369007",10,3,3,3,3,3,1,2,2,2,2,2,2,1
"R-HSA-1369062",29,16,16,10,6,10,3,11,11,11,7,5,9,2
"R-HSA-139853",22,14,14,14,4,2,0,5,5,5,5,4,3,0
"R-HSA-139910",5,3,3,3,1,1,1,2,1,1,1,1,1,1
"R-HSA-139915",10,6,6,6,1,2,0,5,4,4,4,2,4,0
"R-HSA-140179",24,3,3,2,1,1,0,8,7,7,4,2,2,0
"R-HSA-140180",9,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-140342",13,12,12,11,4,4,1,12,12,12,12,9,12,3
"R-HSA-140534",20,8,9,9,0,1,0,9,9,9,9,0,9,0
"R-HSA-140834",6,4,4,4,0,0,0,8,8,8,8,0,0,0
"R-HSA-140837",26,19,21,18,4,4,1,24,24,24,24,10,7,5
"R-HSA-140875",25,17,18,12,2,3,0,29,29,29,28,5,7,0
"R-HSA-140877",43,30,33,24,5,5,1,61,61,61,60,15,14,5
"R-HSA-141333",15,2,2,1,0,0,0,5,5,5,2,0,0,0
"R-HSA-141334",13,1,1,1,1,1,0,3,2,2,2,2,2,0
"R-HSA-141405",21,17,18,17,13,15,13,3,3,3,3,3,3,3
"R-HSA-141424",94,80,84,78,23,28,12,4,4,4,4,4,4,4
"R-HSA-141430",21,17,18,17,13,15,13,2,2,2,2,2,2,2
"R-HSA-141444",94,80,84,78,23,28,12,4,4,4,4,4,4,4
"R-HSA-1428517",238,157,161,156,82,134,34,67,59,59,58,48,53,32
"R-HSA-1430728",3642,1763,1807,1649,866,964,476,2268,1813,1830,1701,1125,1146,614
"R-HSA-1433557",51,28,29,25,8,8,1,39,31,32,30,12,12,3
"R-HSA-1433559",18,9,10,9,4,3,1,8,7,8,8,4,3,1
"R-HSA-1433617",12,6,6,6,1,1,0,3,3,3,3,1,1,0
"R-HSA-1442490",69,55,59,42,12,8,1,34,34,34,34,22,20,2
"R-HSA-1445148",81,49,49,43,32,30,14,15,11,11,10,9,10,5
"R-HSA-1461957",40,18,17,2,0,1,0,5,5,5,2,0,1,0
"R-HSA-1461973",51,27,25,5,0,1,0,19,19,19,4,0,1,0
"R-HSA-1462054",11,9,8,3,0,0,0,12,12,12,2,0,0,0
"R-HSA-1474151",37,8,8,8,6,5,2,16,7,7,7,7,7,3
"R-HSA-1474165",123,53,62,35,16,14,12,24,22,23,18,17,15,13
"R-HSA-1474228",148,107,116,96,23,17,1,105,105,105,100,73,61,4
"R-HSA-1474244",328,238,251,222,47,44,4,319,308,309,293,157,147,10
"R-HSA-1474290",104,79,83,69,16,16,1,77,69,70,62,31,27,3
"R-HSA-1475029",17,12,12,8,3,3,0,8,8,8,8,4,4,0
"R-HSA-1480926",24,12,12,10,0,1,0,14,14,14,14,0,2,0
"R-HSA-1482788",40,26,27,19,8,9,5,9,9,9,9,7,6,6
"R-HSA-1482798",18,6,6,6,5,4,1,12,9,9,9,8,6,4
"R-HSA-1482801",31,21,22,14,4,4,5,8,8,8,7,4,4,3
"R-HSA-1482839",42,26,27,20,7,7,5,9,9,9,9,6,5,6
"R-HSA-1482883",17,6,6,4,3,3,0,8,8,8,6,2,5,0
"R-HSA-1482922",25,15,17,10,3,3,3,6,4,6,5,3,3,3
"R-HSA-1482925",26,17,18,11,4,4,2,10,10,10,9,5,3,5
"R-HSA-1483076",5,1,1,1,1,1,1,1,1,1,1,1,1,1
"R-HSA-1483101",8,2,2,2,1,1,0,2,2,2,2,1,1,0
"R-HSA-1483115",18,8,8,5,0,1,4,6,5,5,5,0,1,5
"R-HSA-1483148",21,6,6,5,4,4,2,5,2,2,2,2,2,2
"R-HSA-1483152",9,1,1,1,0,0,1,3,2,2,2,0,0,2
"R-HSA-1483166",65,38,39,31,14,17,5,17,17,17,16,10,10,5
"R-HSA-1483171",2,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-1483191",55,25,25,24,13,14,9,18,18,18,18,10,11,7
"R-HSA-1483196",3,1,1,1,1,1,0,4,4,4,4,4,4,0
"R-HSA-1483206",221,115,117,103,55,58,31,133,117,119,113,68,68,54
"R-HSA-1483213",33,10,10,10,5,5,4,9,6,6,6,3,4,3
"R-HSA-1483226",14,5,5,4,3,2,2,3,3,3,3,2,2,2
"R-HSA-1483248",14,5,5,5,4,4,4,5,5,5,5,5,5,5
"R-HSA-1483249",90,44,45,38,19,21,10,71,53,53,52,37,36,24
"R-HSA-1483255",112,72,73,66,28,34,13,89,78,78,71,54,62,26
"R-HSA-1483257",314,186,189,168,82,91,44,218,191,193,180,118,126,80
"R-HSA-1489509",53,38,38,37,13,21,4,28,28,28,28,24,26,5
"R-HSA-1500620",92,38,37,24,12,12,12,15,14,14,14,13,13,13
"R-HSA-1500931",134,88,90,79,27,31,1,60,56,57,50,32,33,3
"R-HSA-1502540",17,9,9,9,5,4,0,10,10,10,10,10,10,0
"R-HSA-1538133",38,21,21,19,12,12,4,27,27,27,27,27,27,18
"R-HSA-156580",263,81,86,66,38,32,14,72,61,61,55,28,27,12
"R-HSA-156581",52,13,13,12,8,5,4,13,12,12,11,6,4,3
"R-HSA-156582",16,2,2,2,0,0,0,4,4,4,4,0,0,0
"R-HSA-156584",72,17,18,16,6,5,2,24,18,18,18,6,9,1
"R-HSA-156587",24,5,6,3,2,0,0,6,5,5,5,2,0,0
"R-HSA-156588",58,14,16,6,5,5,1,11,10,10,5,4,4,1
"R-HSA-156590",68,31,32,28,18,18,7,14,12,12,12,10,10,7
"R-HSA-1566948",45,37,39,36,9,8,1,17,17,17,17,14,7,1
"R-HSA-1566977",7,4,3,5,0,0,0,3,3,3,3,0,0,0
"R-HSA-156711",23,13,14,12,9,9,3,15,14,14,13,9,9,7
"R-HSA-156827",120,102,103,94,93,95,85,3,3,3,3,3,3,3
"R-HSA-156842",102,83,84,72,72,77,72,9,6,6,4,4,6,6
"R-HSA-156902",97,80,81,72,72,74,70,5,4,4,4,4,4,4
"R-HSA-157118",259,134,144,119,71,78,39,154,133,134,119,74,111,29
"R-HSA-157579",109,71,73,62,38,35,32,34,34,34,34,31,31,31
"R-HSA-157858",57,37,37,23,12,12,4,24,23,23,23,10,10,7
"R-HSA-15869",256,85,89,84,50,47,31,142,117,123,117,81,76,49
"R-HSA-1592230",128,56,59,54,31,41,10,36,32,32,32,12,27,8
"R-HSA-159227",39,29,30,27,23,28,4,3,3,3,3,3,3,3
"R-HSA-159230",40,30,31,28,24,29,4,3,3,3,3,3,3,3
"R-HSA-159231",46,35,36,33,29,34,10,3,3,3,3,3,3,3
"R-HSA-159234",47,36,37,34,30,35,10,9,9,9,9,9,9,9
"R-HSA-159236",81,64,66,60,48,54,5,4,4,4,4,4,4,4
"R-HSA-1592389",35,26,28,21,8,5,1,27,27,27,24,22,17,2
"R-HSA-159418",39,13,13,12,3,2,0,17,14,14,13,3,2,0
"R-HSA-159424",24,5,6,3,2,0,0,6,5,5,5,2,0,0
"R-HSA-159740",15,9,9,8,0,0,0,9,9,9,8,0,0,0
"R-HSA-159763",9,5,5,5,0,0,0,9,5,5,5,0,0,0
"R-HSA-159782",10,10,10,10,1,1,1,9,9,9,9,9,9,9
"R-HSA-159854",16,11,11,10,1,1,1,27,23,23,22,9,9,9
"R-HSA-1606322",23,12,13,13,1,5,0,11,9,9,9,1,7,0
"R-HSA-1606341",7,4,4,3,0,1,0,6,6,6,6,0,4,0
"R-HSA-1614517",22,6,6,4,5,4,1,6,6,6,4,5,4,1
"R-HSA-1614558",53,12,14,10,12,10,4,23,20,22,17,20,14,11
"R-HSA-1614603",10,2,2,2,2,2,2,2,2,2,2,2,2,2
"R-HSA-1614635",94,25,27,22,22,18,11,37,34,36,30,31,24,19
"R-HSA-162582",3030,2096,2168,1911,725,799,263,2532,2329,2333,2259,1539,1615,675
"R-HSA-162585",9,1,1,1,1,1,1,2,2,2,2,2,2,2
"R-HSA-162587",175,131,135,124,101,112,73,117,102,102,102,100,101,91
"R-HSA-162588",37,25,25,23,15,16,8,4,3,3,3,3,3,3
"R-HSA-162589",11,1,1,1,1,1,1,12,12,12,12,12,12,12
"R-HSA-162592",15,8,8,7,4,4,3,14,12,12,12,12,12,5
"R-HSA-162594",26,12,13,12,6,6,5,39,37,37,37,37,37,30
"R-HSA-162599",160,120,123,113,96,107,69,78,65,65,65,63,64,61
"R-HSA-162658",17,8,10,10,7,8,3,6,6,6,6,6,6,4
"R-HSA-162699",7,3,3,3,0,0,0,2,1,1,1,0,0,0
"R-HSA-162710",37,15,16,14,5,8,8,11,10,10,9,5,7,8
"R-HSA-162791",10,7,7,0,0,0,0,2,2,2,0,0,0,0
"R-HSA-162906",260,203,208,190,152,165,117,160,143,143,143,133,133,120
"R-HSA-162909",151,110,112,101,78,87,52,54,50,50,50,42,41,38
"R-HSA-1630316",181,106,115,109,23,41,2,88,81,85,85,42,70,1
"R-HSA-163125",115,73,75,24,9,13,10,16,14,14,11,6,8,9
"R-HSA-163200",153,118,121,118,55,105,17,31,28,28,28,21,26,13
"R-HSA-163210",23,17,17,16,13,15,0,3,3,3,3,3,3,0
"R-HSA-163282",3,3,3,3,1,3,3,2,2,2,2,2,2,2
"R-HSA-1632852",150,110,111,106,67,72,45,87,81,80,81,76,75,71
"R-HSA-163316",1,1,1,1,0,1,0,1,1,1,1,0,1,0
"R-HSA-163358",7,4,3,5,3,4,3,5,3,3,3,3,3,3
"R-HSA-163359",40,31,32,32,8,13,4,6,6,6,6,5,5,2
"R-HSA-163560",42,20,19,17,9,5,3,17,13,12,8,6,5,3
"R-HSA-163615",23,16,16,17,6,11,3,4,4,4,4,3,3,2
"R-HSA-163680",11,6,7,6,1,0,2,4,4,4,4,3,0,3
"R-HSA-163685",147,97,97,91,37,36,15,66,63,59,63,52,48,34
"R-HSA-163754",10,2,2,2,2,2,1,3,3,3,3,3,3,1
"R-HSA-163765",9,3,2,2,2,3,0,6,6,2,6,6,6,0
"R-HSA-163767",9,6,5,5,3,4,2,4,4,4,4,4,4,4
"R-HSA-1638074",51,29,30,27,5,10,0,16,15,15,15,7,13,0
"R-HSA-1638091",87,46,52,49,14,25,0,33,29,33,33,25,32,0
"R-HSA-163841",74,35,35,33,11,10,11,40,34,35,32,17,16,16
"R-HSA-1640170",734,524,537,491,258,296,186,451,416,417,414,372,378,311
"R-HSA-1643685",2596,1288,1331,1148,632,694,373,1787,1241,1240,1170,821,843,509
"R-HSA-1643713",32,16,16,14,5,6,2,42,41,41,41,40,39,39
"R-HSA-164378",23,16,16,17,6,10,3,2,2,2,2,2,2,1
"R-HSA-164516",11,1,1,1,1,1,1,8,8,8,8,8,8,8
"R-HSA-164525",8,1,1,1,1,1,1,4,4,4,4,4,4,4
"R-HSA-164843",13,6,6,5,3,3,2,3,3,3,3,3,3,3
"R-HSA-164938",22,18,19,15,9,7,7,15,15,15,15,12,11,11
"R-HSA-164939",3,2,2,2,1,1,1,3,3,3,3,2,2,2
"R-HSA-164940",11,7,8,6,4,3,3,4,4,4,4,3,3,3
"R-HSA-164944",9,5,6,5,3,3,1,5,5,5,5,2,2,1
"R-HSA-164952",29,22,24,19,12,10,8,20,20,20,20,14,13,12
"R-HSA-165054",45,27,28,26,22,27,4,10,8,8,8,8,8,8
"R-HSA-1650814",76,59,63,50,10,8,1,51,47,48,42,22,18,3
"R-HSA-165158",7,4,4,4,3,2,1,3,3,3,3,3,3,2
"R-HSA-165159",50,38,39,34,22,25,16,29,29,29,29,25,27,24
"R-HSA-165160",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-165181",6,2,2,2,0,2,0,2,2,2,2,0,2,0
"R-HSA-1655829",87,38,40,38,19,25,17,52,49,49,49,31,35,18
"R-HSA-166016",165,100,106,87,22,35,15,107,99,99,97,32,76,18
"R-HSA-166020",3,2,2,0,1,0,0,2,2,2,0,2,0,0
"R-HSA-1660499",69,47,48,46,13,19,5,33,31,31,31,18,26,8
"R-HSA-1660502",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660508",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660510",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660514",32,17,17,14,11,9,7,11,11,11,9,9,8,7
"R-HSA-1660516",31,15,15,11,8,8,3,13,13,13,11,9,9,2
"R-HSA-1660517",22,11,11,7,5,5,2,7,7,7,4,4,4,1
"R-HSA-1660524",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660537",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-166058",133,78,80,70,18,30,14,76,68,68,69,27,61,17
"R-HSA-1660661",80,37,38,42,20,22,14,33,29,30,31,24,23,19
"R-HSA-1660662",86,41,39,41,19,17,3,32,31,30,30,20,17,3
"R-HSA-166166",121,75,76,68,19,31,15,72,67,67,68,27,52,17
"R-HSA-166187",18,6,6,6,1,2,1,9,6,6,6,4,4,2
"R-HSA-166208",28,24,24,23,16,18,10,8,8,8,8,6,6,6
"R-HSA-1663150",17,9,8,10,0,0,0,2,2,2,2,0,0,0
"R-HSA-166520",166,84,84,75,34,36,15,164,149,149,144,100,92,30
"R-HSA-166658",156,66,73,39,6,5,0,72,67,70,64,22,34,0
"R-HSA-166662",15,5,6,1,0,0,0,6,6,6,1,0,0,0
"R-HSA-166663",120,39,45,17,2,3,0,21,19,20,15,6,9,0
"R-HSA-166665",8,7,8,8,1,0,0,5,5,5,5,5,0,0
"R-HSA-166786",111,34,38,12,0,0,0,8,8,8,3,0,0,0
"R-HSA-167021",5,2,2,2,1,1,0,3,3,3,3,2,2,0
"R-HSA-167044",26,11,11,9,3,5,2,10,9,9,7,3,5,3
"R-HSA-167060",5,4,4,3,1,1,1,5,5,5,5,1,1,1
"R-HSA-167152",47,43,43,39,36,41,36,2,2,2,2,2,2,2
"R-HSA-167158",34,32,32,31,27,32,28,5,5,5,5,5,5,5
"R-HSA-167160",29,26,26,26,25,26,26,5,5,5,5,5,5,5
"R-HSA-167161",49,43,45,43,41,42,40,4,4,4,4,4,4,4
"R-HSA-167162",49,43,45,43,41,42,40,9,9,9,9,9,9,9
"R-HSA-167169",47,41,41,37,34,39,35,15,15,15,15,15,15,15
"R-HSA-167172",76,65,67,61,57,62,55,47,47,47,47,47,47,47
"R-HSA-167200",46,41,41,37,34,39,35,5,5,5,5,5,5,5
"R-HSA-167238",33,29,29,26,23,27,23,2,2,2,2,2,2,2
"R-HSA-167242",24,22,22,21,18,22,18,2,2,2,2,2,2,2
"R-HSA-167243",33,29,29,26,23,27,23,3,3,3,3,3,3,3
"R-HSA-167246",47,41,41,37,34,39,35,8,8,8,8,8,8,8
"R-HSA-167287",34,31,31,28,25,29,24,3,3,3,3,3,3,3
"R-HSA-167290",34,31,31,28,25,29,24,2,2,2,2,2,2,2
"R-HSA-167590",10,9,9,8,5,4,4,5,5,5,5,4,3,3
"R-HSA-167826",8,5,5,5,1,2,0,6,3,3,3,3,3,0
"R-HSA-167827",11,5,5,5,1,2,0,1,1,1,1,1,1,0
"R-HSA-1679131",16,11,11,10,2,2,0,7,7,7,7,3,3,0
"R-HSA-168138",121,75,76,67,21,32,16,80,70,70,67,29,60,19
"R-HSA-168142",109,67,67,62,18,29,14,71,62,62,63,27,56,17
"R-HSA-168164",116,73,74,69,19,31,15,73,61,67,69,27,52,17
"R-HSA-168176",109,67,67,62,18,29,14,71,62,62,63,27,56,17
"R-HSA-168179",136,80,82,72,18,30,14,78,69,69,70,27,62,17
"R-HSA-168181",118,72,73,65,18,29,14,79,69,69,67,28,59,18
"R-HSA-168188",133,78,80,70,18,30,14,78,69,69,70,27,62,17
"R-HSA-168249",1345,825,862,691,327,370,185,725,613,623,562,254,366,117
"R-HSA-168255",198,131,133,122,114,121,91,59,21,21,21,18,17,16
"R-HSA-168256",2703,1518,1573,1246,561,635,271,1659,1448,1473,1344,577,714,273
"R-HSA-168268",20,2,2,2,2,2,1,21,1,1,1,1,1,1
"R-HSA-168270",18,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-168271",48,26,27,25,20,25,2,4,4,4,4,3,3,3
"R-HSA-168273",173,118,120,109,104,111,84,14,6,6,6,5,5,5
"R-HSA-168274",54,27,28,26,21,26,3,5,3,3,3,2,2,2
"R-HSA-168275",20,1,1,1,1,1,1,1,1,1,1,1,1,1
