"interpro_id","family_names","hierarchy_level","family_branch"
"IPR015556","Plasminogen activator inhibitor-2",2,42
"IPR015557","Leukocyte elastase inhibitor (serpin B1)",2,42
"IPR031172","Serpin E3",2,42
"IPR033547","Serpin H1",2,42
"IPR000217","Tubulin",1,43
"IPR002452","Alpha tubulin",2,43
"IPR002453","Beta tubulin",2,43
"IPR002454","Gamma tubulin",2,43
"IPR002967","Delta tubulin",2,43
"IPR004057","Epsilon tubulin",2,43
"IPR004058","Zeta tubulin",2,43
"IPR000218","Ribosomal protein L14P",1,44
"IPR005745","Ribosomal protein L14P, bacterial-type",2,44
"IPR019971","Ribosomal protein L14P, archaeal",2,44
"IPR000223","Peptidase S26A, signal peptidase I",1,45
"IPR037730","Mitochondrial inner membrane protease subunit 2",2,45
"IPR000228","RNA 3'-terminal phosphate cyclase",1,46
"IPR016443","RNA 3'-terminal phosphate cyclase type 2",2,46
"IPR017770","RNA 3'-terminal phosphate cyclase type 1",2,46
"IPR000235","Ribosomal protein S5/S7",1,47
"IPR005716","Ribosomal protein S5/S7, eukaryotic/archaeal",2,47
"IPR026018","Ribosomal protein S7, archaeal",3,47
"IPR005717","Ribosomal protein S7, bacterial/organellar-type",2,47
"IPR034643","Mitochondrial ribosomal protein S7, plants",3,47
"IPR000238","Ribosome-binding factor A",1,48
"IPR039212","Putative ribosome-binding factor A, mitochondrial",2,48
"IPR000239","GPCR kinase",1,49
"IPR032965","Rhodopsin kinase GRK1",2,49
"IPR000242","Tyrosine-specific protein phosphatase, PTPase domain",1,50
"IPR045905","Receptor-type tyrosine-protein phosphatase delta, PTPase domain, repeat 1",2,50
"IPR045911","Receptor-type tyrosine-protein phosphatase mu, PTPase domain, repeat 1",2,50
"IPR000243","Peptidase T1A, proteasome beta-subunit",1,51
"IPR019983","Peptidase T1A, proteasome beta-subunit, archaeal",2,51
"IPR034384","Proteasome subunit beta type 2/10",2,51
"IPR034385","Proteasome subunit beta type 11",2,51
"IPR035140","Proteasome subunit beta 6",2,51
"IPR035705","Proteasome subunit beta type 8",2,51
"IPR037558","Proteasome subunit beta 5",2,51
"IPR037559","Proteasome subunit beta Pre3",2,51
"IPR000244","Ribosomal protein L9",1,52
"IPR020594","Ribosomal protein L9, bacteria/chloroplast",2,52
"IPR000245","V-ATPase proteolipid subunit",1,53
"IPR011555","V-ATPase proteolipid subunit C, eukaryotic",2,53
"IPR000246","Peptidase T2, asparaginase 2",1,54
"IPR033844","Asparaginase-like 1, metazoa",2,54
"IPR037464","Threonine aspartase 1",2,54
"IPR000248","Angiotensin II receptor family",1,55
"IPR000147","Angiotensin II receptor type 2",2,55
"IPR000190","Angiotensin II receptor type 1",2,55
"IPR000249","Bacterial microcompartment domain",1,56
"IPR044872","CcmK/CsoS1, bacterial microcompartment domain",2,56
"IPR000250","Peptidase G1",1,57
"IPR033863","Scytalidoglutamic peptidase",2,57
"IPR000253","Forkhead-associated (FHA) domain",1,58
"IPR032030","YscD, cytoplasmic domain",2,58
"IPR000257","Uroporphyrinogen decarboxylase (URO-D)",1,59
"IPR006360","Methyltransferase MtaA/CmuA",2,59
"IPR000259","Fimbrial-type adhesion domain",1,60
"IPR015243","FimH, mannose-binding domain",2,60
"IPR000262","FMN-dependent dehydrogenase",1,61
"IPR037396","FMN hydroxy acid dehydrogenase domain",2,61
"IPR037350","Lactate 2-monooxygenase, FMN-binding domain",3,61
"IPR037458","L-mandelate/L-lactate dehydrogenase, FMN-binding domain",3,61
"IPR000263","Geminivirus AR1/BR1 coat protein",1,62
"IPR000143","Geminivirus MSV 27Kd coat protein",2,62
"IPR000650","Geminivirus AR1 coat protein",2,62
"IPR001530","Geminivirus BR1 coat protein",2,62
"IPR000264","ALB/AFP/VDB",1,63
"IPR000213","Vitamin D-binding protein",2,63
"IPR021177","Serum albumin/Alpha-fetoprotein/Afamin",2,63
"IPR000265","Prostanoid EP3 receptor",1,64
"IPR000154","Prostanoid EP3 receptor type 3",2,64
"IPR001481","Prostanoid EP3 receptor, type 2",2,64
"IPR003304","Prostanoid EP3 receptor, type 1",2,64
"IPR000266","Ribosomal protein S17/S11",1,65
"IPR019984","30S ribosomal protein S17",2,65
"IPR028333","Ribosomal protein S17, archaeal/eukaryotic",2,65
"IPR019978","Ribosomal protein S17, archaeal",3,65
"IPR039193","28S ribosomal protein S17, mitochondrial",2,65
"IPR000269","Copper amine oxidase",1,66
"IPR032952","Retina-specific copper amine oxidase",2,66
"IPR000270","PB1 domain",1,67
"IPR034851","Dual specificity mitogen-activated protein kinase kinase 5, PB1 domain",2,67
"IPR034852","NBR1, PB1 domain",2,67
"IPR034853","Neutrophil cytosol factor P40, PB1 domain",2,67
"IPR034857","TFG, PB1 domain",2,67
"IPR034866","Sequestosome-1, PB1 domain",2,67
"IPR034868","Partitioning defective protein 6, PB1 domain",2,67
"IPR034877","Protein kinase C, PB1 domain",2,67
"IPR034879","Mitogen-activated protein kinase kinase kinase 2/3, PB1 domain",2,67
"IPR034885","Neutrophil cytosol factor 2, PB1 domain",2,67
"IPR034891","Protein NLP, PB1 domain",2,67
"IPR034892","NADPH oxidase regulator NoxR, PB1 domain",2,67
"IPR000276","G protein-coupled receptor, rhodopsin-like",1,68
"IPR000018","P2Y purinoceptor 4",2,68
"IPR000025","Melatonin receptor family",2,68
"IPR002278","Melatonin receptor 1A/1B",3,68
"IPR002280","Melatonin-related receptor 1X",3,68
"IPR000142","P2Y purinoceptor 1",2,68
"IPR000204","Orexin receptor family",2,68
"IPR004059","Orexin/Hypocretin receptor type 1",3,68
"IPR004060","Orexin receptor 2",3,68
"IPR000248","Angiotensin II receptor family",2,68
"IPR000147","Angiotensin II receptor type 2",3,68
"IPR000190","Angiotensin II receptor type 1",3,68
"IPR000355","Chemokine receptor family",2,68
"IPR000174","CXC chemokine receptor 1/2",3,68
"IPR000057","CXC chemokine receptor 2",4,68
"IPR001355","CXC chemokine receptor 1",4,68
"IPR001053","CXC chemokine receptor 5",3,68
"IPR001277","CXC chemokine receptor 4/atypical chemokine receptor 2",3,68
"IPR033037","Atypical chemokine receptor 2",4,68
"IPR001718","CC chemokine receptor 7",3,68
"IPR002235","CXC chemokine receptor 6",3,68
"IPR002236","CC chemokine receptor 1",3,68
"IPR034321","C-C Chemokine receptor type 1, eukaryote",4,68
"IPR002237","CC chemokine receptor 2",3,68
"IPR002238","CC chemokine receptor 3",3,68
"IPR002239","CC chemokine receptor 4",3,68
"IPR002240","CC chemokine receptor 5",3,68
"IPR004067","CC chemokine receptor 6",3,68
"IPR004068","CC chemokine receptor 8",3,68
"IPR004069","CC chemokine receptor 9",3,68
"IPR004070","CXC chemokine receptor 3",3,68
"IPR005382","CC chemokine receptor 10",3,68
"IPR005383","Atypical chemokine receptor 4",3,68
"IPR000356","P2Y2 purinoceptor",2,68
"IPR000371","P2Y3 purinoceptor",2,68
"IPR000405","Galanin receptor family",2,68
"IPR003906","Galanin receptor 1",3,68
"IPR003907","Galanin receptor 2",3,68
"IPR003908","Galanin receptor 3",3,68
"IPR000496","Bradykinin receptor family",2,68
"IPR001186","Bradykinin receptor B1",3,68
"IPR001504","Bradykinin receptor B2",3,68
"IPR000499","Endothelin receptor family",2,68
"IPR001112","Endothelin receptor B",3,68
"IPR002175","Endothelin receptor A",3,68
"IPR000503","Histamine H2 receptor",2,68
"IPR000586","Somatostatin receptor family",2,68
"IPR001116","Somatostatin receptor 1",3,68
"IPR001184","Somatostatin receptor 5",3,68
"IPR001512","Somatostatin receptor 4",3,68
"IPR001856","Somatostatin receptor 3",3,68
"IPR002074","Somatostatin receptor 2",3,68
"IPR000611","Neuropeptide Y receptor family",2,68
"IPR000351","Neuropeptide Y1 receptor",3,68
"IPR000393","Neuropeptide Y5 receptor",3,68
"IPR000986","Neuropeptide Y6 receptor",3,68
"IPR001358","Neuropeptide Y2 receptor",3,68
"IPR001933","Neuropeptide Y4 receptor",3,68
"IPR000670","Urotensin II receptor",2,68
"IPR000723","G protein-coupled receptor 3/6/12 orphan",2,68
"IPR000599","G protein-coupled receptor 12",3,68
"IPR000984","G protein-coupled receptor 3",3,68
"IPR001151","G protein-coupled receptor 6",3,68
"IPR000725","Olfactory receptor",2,68
"IPR030778","Olfactory receptor 2G3",3,68
"IPR030779","Olfactory receptor 10G4/10G9",3,68
"IPR030781","Olfactory receptor 2L13",3,68
"IPR030782","Olfactory receptor 2A2",3,68
"IPR030785","Olfactory receptor 10G2",3,68
"IPR030787","Olfactory receptor 13D1",3,68
"IPR030788","Olfactory receptor 2AJ1",3,68
"IPR030789","Olfactory receptor 2AG1",3,68
"IPR036905","Olfactory receptor 1094",3,68
"IPR000820","Proto-oncogene Mas",2,68
"IPR000826","Formyl peptide receptor-related",2,68
"IPR002234","Anaphylatoxin chemotactic receptor family",3,68
"IPR001274","C5a1/C5a2 anaphylatoxin chemotactic receptor",4,68
"IPR027809","C5a anaphylatoxin chemotactic receptor 2",5,68
"IPR001644","C3a anaphylatoxin chemotactic receptor",4,68
"IPR002258","Chemerin-like receptor 1",3,68
"IPR027345","Formyl peptide receptor 1/2",3,68
"IPR027347","Formyl peptide receptor 3",3,68
"IPR000921","Histamine H1 receptor",2,68
"IPR000929","Dopamine receptor family",2,68
"IPR000497","Dopamine D5 receptor",3,68
"IPR001413","Dopamine D1 receptor",3,68
"IPR001620","Dopamine D3 receptor",3,68
"IPR001922","Dopamine D2 receptor",3,68
"IPR002185","Dopamine D4 receptor",3,68
"IPR000995","Muscarinic acetylcholine receptor family",2,68
"IPR000502","Muscarinic acetylcholine receptor M5",3,68
"IPR001065","Muscarinic acetylcholine receptor M2",3,68
"IPR001183","Muscarinic acetylcholine receptor M3",3,68
"IPR001432","Muscarinic acetylcholine receptor M4",3,68
"IPR002228","Muscarinic acetylcholine receptor M1",3,68
"IPR001069","5-Hydroxytryptamine 7 receptor",2,68
"IPR001350","G10D orphan receptor",2,68
"IPR001402","Prolactin-releasing peptide receptor",2,68
"IPR001416","Atypical chemokine receptor 3",2,68
"IPR001418","Opioid receptor",2,68
"IPR000105","Mu opioid receptor",3,68
"IPR000321","Delta opioid receptor",3,68
"IPR000452","Kappa opioid receptor",3,68
"IPR001420","X opioid receptor",3,68
"IPR001520","5-Hydroxytryptamine 4 receptor",2,68
"IPR001556","Bombesin receptor-like",2,68
"IPR000401","[Phe13]-bombesin receptor",3,68
"IPR001560","Bombesin receptor type 3",3,68
"IPR001642","Neuromedin B receptor",3,68
"IPR001966","Gastrin-releasing peptide receptor",3,68
"IPR001634","Adenosine receptor",2,68
"IPR000466","Adenosine A3 receptor",3,68
"IPR001068","Adenosine A1 receptor",3,68
"IPR001435","Adenosine A2B receptor",3,68
"IPR001513","Adenosine A2A receptor",3,68
"IPR001658","Gonadotrophin-releasing hormone receptor family",2,68
"IPR027983","Gonadotropin-releasing hormone II receptor",3,68
"IPR001671","Melanocortin/ACTH receptor",2,68
"IPR000761","Melanocyte-stimulating hormone receptor",3,68
"IPR001168","Adrenocorticotrophin (ACTH) receptor",3,68
"IPR001908","Melanocortin receptor 3-5",3,68
"IPR000155","Melanocortin 4 receptor",4,68
"IPR000621","Melanocortin 5 receptor",4,68
"IPR002122","Melanocortin 3 receptor",4,68
"IPR001681","Neurokinin receptor",2,68
"IPR000046","Neurokinin NK1 receptor",3,68
"IPR000913","Neurokinin NK2 receptor",3,68
"IPR001013","Neurokinin NK3 receptor",3,68
"IPR001760","Opsin",2,68
"IPR000378","Opsin red/green sensitive",3,68
"IPR000732","Rhodopsin",3,68
"IPR000856","Opsin RH3/RH4",3,68
"IPR001391","Opsin lateral eye type",3,68
"IPR001521","Opsin, blue sensitive",3,68
"IPR001735","Opsin RH1/RH2",3,68
"IPR002206","Opsin, pineal type",3,68
"IPR001793","Retinal pigment epithelium GPCR",2,68
"IPR001817","Vasopressin receptor",2,68
"IPR000161","Vasopressin V2 receptor",3,68
"IPR000628","Vasopressin V1B receptor",3,68
"IPR001224","Vasopressin V1A receptor",3,68
"IPR002062","Oxytocin receptor",3,68
"IPR001973","P2Y6 purinoceptor",2,68
"IPR002002","Octopamine receptor",2,68
"IPR002120","Thyrotropin-releasing hormone receptor",2,68
"IPR002131","Glycoprotein hormone receptor family",2,68
"IPR002272","Follicle stimulating hormone receptor",3,68
"IPR002273","Lutropin-choriogonadotropic hormone receptor",3,68
"IPR002274","Thyrotropin receptor",3,68
"IPR002230","Cannabinoid receptor family",2,68
"IPR000810","Cannabinoid receptor type 1",3,68
"IPR001551","Cannabinoid receptor type 2",3,68
"IPR002231","5-hydroxytryptamine receptor family",2,68
"IPR000377","5-Hydroxytryptamine 2C receptor",3,68
"IPR000431","5-Hydroxytryptamine 5B receptor",3,68
"IPR000450","5-Hydroxytryptamine 1F receptor",3,68
"IPR000455","5-Hydroxytryptamine 2A receptor",3,68
"IPR000482","5-Hydroxytryptamine 2B receptor",3,68
"IPR000505","5-Hydroxytryptamine 1D receptor",3,68
"IPR000610","5-Hydroxytryptamine 1A receptor",3,68
"IPR001397","5-Hydroxytryptamine 5A receptor",3,68
"IPR002147","5-Hydroxytryptamine 1B receptor",3,68
"IPR027425","5-Hydroxytryptamine 1E receptor",3,68
"IPR002232","5-Hydroxytryptamine 6 receptor",2,68
"IPR002233","Adrenoceptor family",2,68
"IPR000207","Alpha 2B adrenoceptor",3,68
"IPR000332","Beta 2 adrenoceptor",3,68
"IPR000363","Alpha 1D adrenoceptor",3,68
"IPR000507","Beta 1 adrenoceptor",3,68
"IPR000681","Beta 3 adrenoceptor",3,68
"IPR000735","Alpha 2C adrenoceptor",3,68
"IPR001004","Alpha 1A adrenoceptor",3,68
"IPR001115","Alpha 1B adrenoceptor",3,68
"IPR001946","Alpha 2A adrenoceptor",3,68
"IPR002275","Chemerin-like receptor 2",2,68
"IPR002276","G protein-coupled receptor 4 orphan",2,68
"IPR002282","Platelet-activating factor receptor",2,68
"IPR002962","Peropsin",2,68
"IPR032972","Visual pigment-like receptor peropsin",3,68
"IPR003904","Apelin receptor",2,68
"IPR003905","Growth hormone secretagogue receptor/motilin receptor",2,68
"IPR039129","Growth hormone secretagogue receptor",3,68
"IPR039132","Motilin receptor",3,68
"IPR003909","G protein-coupled receptor 37 orphan",2,68
"IPR003912","Protease-activated receptor",2,68
"IPR000935","Thrombin receptor",3,68
"IPR002281","Protease-activated receptor 2",3,68
"IPR003943","Protease-activated receptor 3",3,68
"IPR003944","Protease-activated receptor 4",3,68
"IPR003980","Histamine H3 receptor",2,68
"IPR003981","Leukotriene B4 receptor",2,68
"IPR003982","Leukotriene B4 type 2 receptor",3,68
"IPR003983","Leukotriene B4 type 1 receptor",3,68
"IPR003984","Neurotensin receptor",2,68
"IPR003985","Neurotensin type 1 receptor",3,68
"IPR003986","Neurotensin type 2 receptor",3,68
"IPR004061","Sphingosine 1-phosphate receptor",2,68
"IPR000987","EDG-1 sphingosine 1-phosphate receptor",3,68
"IPR004062","EDG-3 sphingosine 1-phosphate receptor",3,68
"IPR004063","EDG-5 sphingosine 1-phosphate receptor",3,68
"IPR004064","EDG-6 sphingosine 1-phosphate receptor",3,68
"IPR005386","EDG-8 sphingosine 1-phosphate receptor",3,68
"IPR004065","Lysophosphatidic acid receptor",2,68
"IPR002277","Lysophosphatidic acid receptor EDG-2",3,68
"IPR004066","Lysophosphatidic acid receptor EDG-4",3,68
"IPR005385","Lysophosphatidic acid receptor EDG-7",3,68
"IPR004071","Cysteinyl leukotriene receptor",2,68
"IPR013310","Cysteinyl leukotriene receptor 1",3,68
"IPR013311","Cysteinyl leukotriene receptor 2",3,68
