"interpro_id","family_names","hierarchy_level","family_branch"
"IPR002280","Melatonin-related receptor 1X",2,6
"IPR000026","Guanine-specific ribonuclease Sa-like",1,7
"IPR001887","Barnase",2,7
"IPR000031","PurE domain",1,8
"IPR033626","Class II PurE",2,8
"IPR033747","Class I PurE",2,8
"IPR000039","Large ribosomal subunit protein eL18",1,9
"IPR022947","Large ribosomal subunit protein eL18, archaea",2,9
"IPR000040","Acute myeloid leukemia 1 protein (AML1)/Runt",1,10
"IPR016554","Runt-related transcription factor RUNX",2,10
"IPR000053","Thymidine/pyrimidine-nucleoside phosphorylase",1,11
"IPR013466","Thymidine phosphorylase/AMP phosphorylase",2,11
"IPR017713","AMP phosphorylase",3,11
"IPR028579","Putative thymidine phosphorylase",3,11
"IPR018090","Pyrimidine-nucleoside phosphorylase, bacterial/eukaryotic",2,11
"IPR013465","Thymidine phosphorylase",3,11
"IPR000056","Ribulose-phosphate 3-epimerase-like",1,12
"IPR026019","Ribulose-phosphate 3-epimerase",2,12
"IPR043677","D-allulose-6-phosphate 3-epimerase",2,12
"IPR000060","BCCT transporter family",1,13
"IPR023449","L-carnitine/gamma-butyrobetaine antiporter CaiT",2,13
"IPR000076","K/Cl co-transporter",1,14
"IPR000622","K/Cl co-transporter 1",2,14
"IPR000079","High mobility group protein HMGN",1,15
"IPR040164","High mobility group nucleosome-binding domain-containing protein 5",2,15
"IPR000086","NUDIX hydrolase domain",1,16
"IPR020476","NUDIX hydrolase",2,16
"IPR033716","Nudix motif 17 domain",2,16
"IPR042970","NUDT18, NUDIX hydrolase domain",2,16
"IPR044099","mRNA decapping enzyme 2 , NUDIX hydrolase domain",2,16
"IPR047198","Diphosphoinositol polyphosphate phosphohydrolase-like, NUDIX domain",2,16
"IPR049734","NADH pyrophosphatase-like, Nudix hydrolase C-terminal domain",2,16
"IPR000092","Polyprenyl synthetase",1,17
"IPR014119","Heptaprenyl diphosphate synthase component II",2,17
"IPR033965","Tryptophan prenyltransferase ComQ",2,17
"IPR039702","Farnesyl pyrophosphate synthase-like",2,17
"IPR000095","CRIB domain",1,18
"IPR033923","p21 activated kinase binding domain",2,18
"IPR000109","Proton-dependent oligopeptide transporter family",1,19
"IPR004768","Oligopeptide transporter",2,19
"IPR005279","Dipeptide/tripeptide permease",2,19
"IPR023517","Amino acid/peptide transporter family, dipeptide and tripeptide permease A",3,19
"IPR023777","Amino acid/peptide transporter family, dipeptide permease D",3,19
"IPR023778","Amino acid/peptide transporter family, dipeptide/tripeptide permease B",3,19
"IPR044739","NRT1/PTR family",2,19
"IPR000119","Histone-like DNA-binding protein",1,20
"IPR005684","Integration host factor, alpha subunit",2,20
"IPR005685","Integration host factor, beta subunit",2,20
"IPR005902","Putative DNA-binding protein, HU-related",2,20
"IPR000120","Amidase",1,21
"IPR004412","Glutamyl-tRNA(Gln) amidotransferase A subunit",2,21
"IPR014087","1-carboxybiuret hydrolase, AtzE subunit",2,21
"IPR000131","ATP synthase, F1 complex, gamma subunit",1,22
"IPR017709","Alternate ATP synthase, F1 complex, subunit gamma",2,22
"IPR000146","Fructose-1,6-bisphosphatase class 1",1,23
"IPR023079","Sedoheptulose-1,7-bisphosphatase",2,23
"IPR028343","Fructose-1,6-bisphosphatase",2,23
"IPR000150","Cof family",1,24
"IPR017223","Predicted hydrolase of the HAD superfamily, SPs0319-type",2,24
"IPR023938","HMP-PP phosphatase",2,24
"IPR000156","Ran binding domain",1,25
"IPR045207","NUP50, Ran-binding domain",2,25
"IPR045256","Ran-specific GTPase-activating protein 1, Ran-binding domain",2,25
"IPR000157","Toll/interleukin-1 receptor homology (TIR) domain",1,26
"IPR047603","FxsC, N-terminal domain",2,26
"IPR000159","Ras-associating domain",1,27
"IPR015758","Ral guanine nucleotide dissociation stimulator, RA domain",2,27
"IPR028398","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1, RA domain 2",2,27
"IPR030748","Ral guanine nucleotide dissociation stimulator-like 1, RA domain",2,27
"IPR030750","Ral guanine nucleotide dissociation stimulator-like 3, RA domain",2,27
"IPR033600","Ras association domain-containing protein 1, RA domain",2,27
"IPR033618","Ras association domain-containing protein 2, RA domain",2,27
"IPR033622","Ras association domain-containing protein 4, RA domain",2,27
"IPR033623","Ras association domain-containing protein 5, RA domain",2,27
"IPR033631","Ras association domain-containing protein 7, RA domain",2,27
"IPR033633","Ras association domain-containing protein 9, RA domain",2,27
"IPR037835","SNX27, RA domain",2,27
"IPR046986","Growth factor receptor-bound protein 7, RA domain",2,27
"IPR046989","Unconventional myosin-IXb, RA domain",2,27
"IPR047888","ARHGAP20, Ras-associating domain",2,27
"IPR048945","Ras association domain-containing protein 8/10, RA domain",2,27
"IPR033634","Ras association domain-containing protein 10, RA domain",3,27
"IPR048944","Ras association domain-containing protein 8, RA domain",3,27
"IPR000162","GPCR, family 3, metabotropic glutamate receptor",1,28
"IPR000112","GPCR, family 3, metabotropic glutamate receptor 6",2,28
"IPR000144","GPCR, family 3, metabotropic glutamate receptor 8",2,28
"IPR000202","GPCR, family 3, metabotropic glutamate receptor 5",2,28
"IPR001234","GPCR, family 3, metabotropic glutamate receptor 3",2,28
"IPR001256","GPCR, family 3, metabotropic glutamate receptor 1",2,28
"IPR001458","GPCR, family 3, metabotropic glutamate receptor 2",2,28
"IPR001786","GPCR, family 3, metabotropic glutamate receptor 4",2,28
"IPR001883","GPCR, family 3, metabotropic glutamate receptor 7",2,28
"IPR000165","Glucoamylase",1,29
"IPR006425","Glucoamylase, bacterial",2,29
"IPR006465","Oligosaccharide amylase",2,29
"IPR008291","Glucoamylase, starch-binding",2,29
"IPR000174","CXC chemokine receptor 1/2",1,30
"IPR000057","CXC chemokine receptor 2",2,30
"IPR001355","CXC chemokine receptor 1",2,30
"IPR000175","Sodium:neurotransmitter symporter",1,31
"IPR002434","Sodium:neurotransmitter symporter, taurine",2,31
"IPR002435","Sodium:neurotransmitter symporter, noradrenaline",2,31
"IPR002436","Sodium:neurotransmitter symporter, dopamine",2,31
"IPR002438","Neutral amino acid SLC6 transporter",2,31
"IPR002944","Sodium:neurotransmitter symporter, inebriated",2,31
"IPR002980","Sodium:neurotransmitter symporter, GABA, GAT-1",2,31
"IPR002981","Sodium:neurotransmitter symporter, GABA, GAT-2",2,31
"IPR002982","Sodium:neurotransmitter symporter, GABA, GAT-3",2,31
"IPR002983","Sodium:neurotransmitter symporter, betaine",2,31
"IPR002984","Sodium:neurotransmitter symporter, creatine",2,31
"IPR003028","Sodium:neurotransmitter symporter, glycine, type 1",2,31
"IPR047218","Uncharacterized sodium-dependent transporter YocR/YhdH-like",2,31
"IPR000182","GNAT domain",1,32
"IPR040448","PanZ, acetyltransferase (GNAT) domain",2,32
"IPR000183","Ornithine/DAP/Arg decarboxylase",1,33
"IPR002433","Ornithine decarboxylase",2,33
"IPR002985","Arginine decarboxylase",2,33
"IPR002986","Diaminopimelate decarboxylase, LysA",2,33
"IPR017530","Pyridoxal-dependent decarboxylase, exosortase system type 1 associated",2,33
"IPR042152","Uncharacterized protein Y4yA-like",2,33
"IPR000185","Protein translocase subunit SecA",1,34
"IPR022490","Protein translocase subunit SecA2",2,34
"IPR026389","Protein translocase subunit SecA, Actinobacteria-type",2,34
"IPR030908","Protein translocase subunit SecA 2, Bacillus anthracis-type",2,34
"IPR000194","ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",1,35
"IPR033732","ATP synthase, F1 complex, alpha subunit nucleotide-binding domain",2,35
"IPR041703","Transcription termination factor Rho, ATP binding domain",2,35
"IPR000196","Large ribosomal subunit protein eL19 domain",1,36
"IPR033935","Large ribosomal subunit protein eL19, eukaryotic",2,36
"IPR033936","Large ribosomal subunit protein eL19, archaeal",2,36
"IPR000198","Rho GTPase-activating protein domain",1,37
"IPR028557","Unconventional myosin-IXb, Rho-GAP domain",2,37
"IPR037858","ARAP, RhoGAP domain",2,37
"IPR037860","Chimaerin, RhoGAP domain",2,37
"IPR041852","ARHGAP6/36, RhoGAP domain",2,37
"IPR046990","Unconventional myosin-IXa, Rho-GAP domain",2,37
"IPR047078","Inositol polyphosphate 5-phosphatase OCRL, RhoGAP",2,37
"IPR047886","ARHGAP20-like, RhoGAP domain",2,37
"IPR047941","ArhGAP19, RhoGAP domain",2,37
"IPR049592","Rho GTPase-activating protein 1, RhoGAP domain",2,37
"IPR000204","Orexin receptor family",1,38
"IPR004059","Orexin/Hypocretin receptor type 1",2,38
"IPR004060","Orexin receptor 2",2,38
"IPR000209","Peptidase S8/S53 domain",1,39
"IPR030400","Sedolisin domain",2,39
"IPR033857","Bacillopeptidase F, peptidase domain",2,39
"IPR034041","STABLE peptidase domain",2,39
"IPR034045","CspA-like domain",2,39
"IPR034051","Tripeptidyl-peptidase II domain",2,39
"IPR034054","PrcA catalytic domain",2,39
"IPR034056","PatG/PatA-like domain",2,39
"IPR034058","TagA/B/C/D, peptidase domain",2,39
"IPR034061","Autotransporter serine protease peptidase domain",2,39
"IPR034063","Fervidolysin domain",2,39
"IPR034065","All0781-like, domain",2,39
"IPR034067","Serine protease KerA-like, domain",2,39
"IPR034073","Subtilisin DY-like, domain",2,39
"IPR034074","Y4bN, peptidase domain",2,39
"IPR034075","Glr3161-like, domain",2,39
"IPR034080","Protease P7-like, domain",2,39
"IPR034084","Thermitase-like, domain",2,39
"IPR034176","Peptidase MprA-like catalytic domain",2,39
"IPR034182","Kexin/furin catalytic domain",2,39
"IPR034185","Site-1 peptidase catalytic domain",2,39
"IPR034187","PoSI-like peptidase domain",2,39
"IPR034190","Subtilisin domain, cyanobacteria-type",2,39
"IPR034193","Proteinase K-like catalytic domain",2,39
"IPR034197","Cucumisin-like catalytic domain",2,39
"IPR034202","Subtilisin Carlsberg-like catalytic domain",2,39
"IPR034204","Subtilisin SUB1-like catalytic domain",2,39
"IPR034213","Vpr-like peptidase, catalytic domain",2,39
"IPR034216","C5a peptidase-like domain",2,39
"IPR000210","BTB/POZ domain",1,40
"IPR003131","Potassium channel tetramerisation-type BTB domain",2,40
"IPR045904","KCTD15, tetramerisation-type BTB domain",3,40
"IPR046988","Potassium voltage-gated channel subfamily A member 6, BTB/POZ domain",3,40
"IPR047825","SHKBP1/KCTD3, BTB/POZ domain",3,40
"IPR048010","Potassium voltage-gated channel subfamily F member 1-like, BTB/POZ domain",3,40
"IPR048219","Potassium voltage-gated channel subfamily A member 7, BTB/POZ domain",3,40
"IPR048599","BTB/POZ domain-containing protein KCTD1, BTB/POZ domain",3,40
"IPR028764","Kelch repeat and BTB domain-containing protein 8, BTB/POZ domain",2,40
"IPR029851","Kelch-like protein 6, BTB/POZ domain",2,40
"IPR030104","Actin-binding protein IPP, BTB/POZ domain",2,40
"IPR030404","Zinc finger and BTB domain-containing protein 40, BTB/POZ domain",2,40
"IPR030562","Ectoderm-neural cortex protein 1, BTB/POZ domain",2,40
"IPR030563","Kelch-like ECH-associated protein 1, BTB/POZ domain",2,40
"IPR030565","Kelch-like protein 25, BTB/POZ domain",2,40
"IPR030566","Kelch-like protein 23, BTB/POZ domain",2,40
"IPR030570","Kelch-like protein 32, BTB/POZ domain",2,40
"IPR030571","Kelch-like protein 41/41b, BTB/POZ domain",2,40
"IPR030577","Kelch-like protein 21, BTB/POZ domain",2,40
"IPR030584","Kelch-like protein 14, BTB/POZ domain",2,40
"IPR030586","Kelch repeat and BTB domain-containing protein 2, BTB/POZ domain",2,40
"IPR030588","Kelch-like protein 26, BTB/POZ domain",2,40
"IPR030589","Kelch repeat and BTB domain-containing protein 3, BTB/POZ domain",2,40
"IPR030596","Kelch-like protein 24, BTB/POZ domain",2,40
"IPR030597","Kelch-like protein 15, BTB/POZ domain",2,40
"IPR030599","Kelch-like protein 7, BTB/POZ domain",2,40
"IPR030601","Kelch-like protein 35, BTB/POZ domain",2,40
"IPR030603","Kelch-like protein 18, BTB/POZ domain",2,40
"IPR030604","Kelch-like protein 31, BTB/POZ domain",2,40
"IPR030606","Kelch-like protein 5, BTB/POZ domain",2,40
"IPR030607","Kelch-like protein 40, BTB/POZ domain",2,40
"IPR030608","Kelch-like protein 10, BTB/POZ domain",2,40
"IPR039885","BTBD10/KCTD20, BTB/POZ domain",2,40
"IPR040121","BTB/POZ domain-containing protein 8, BTB/POZ domain 1",2,40
"IPR042949","KBTBD4, BTB/POZ domain",2,40
"IPR044072","Kelch-like protein 2 , BTB/POZ domain",2,40
"IPR047070","Gigaxonin, BTB/POZ domain",2,40
"IPR047933","KBTBD6/KBTBD7, BTB/POZ domain",2,40
"IPR047934","BTBD7, first BTB/POZ domain",2,40
"IPR047935","BTBD7, second BTB/POZ domain",2,40
"IPR047989","Zinc finger and BTB domain-containing protein 39, BTB/POZ domain",2,40
"IPR047996","RCC1 and BTB domain-containing protein 1, BTB/POZ domain",2,40
"IPR048060","Zinc finger and BTB domain-containing protein 11, BTB/POZ domain",2,40
"IPR048063","Ankyrin repeat and BTB/POZ domain-containing protein 2, BTB/POZ domain",2,40
"IPR048070","Calicin, BTB/POZ",2,40
"IPR049524","ZBTB47, BTB/POZ domain",2,40
"IPR049738","BTB/POZ domain-containing protein 6, BTB/POZ domain",2,40
"IPR049765","Rabankyrin-5, BTB/POZ domain",2,40
"IPR000212","DNA helicase, UvrD/REP type",1,41
"IPR004586","RecBCD enzyme subunit RecB",2,41
"IPR005751","ATP-dependent DNA helicase PcrA",2,41
"IPR005752","ATP-dependent DNA helicase Rep",2,41
"IPR005753","DNA helicase, ATP-dependent, UvrD type",2,41
"IPR014151","DNA helicase, AddA type",2,41
"IPR014152","ATP-dependent helicase/nuclease subunit A",2,41
"IPR048227","RNA polymerase recycling motor HelD-like, actinomycetes",2,41
"IPR048228","RNA polymerase recycling motor HelD-like, bacillota",2,41
"IPR000215","Serpin family",1,42
"IPR000227","Angiotensinogen",2,42
"IPR000240","Serpin B9/maspin",2,42
"IPR000217","Tubulin",1,43
"IPR002452","Alpha tubulin",2,43
"IPR002453","Beta tubulin",2,43
"IPR002454","Gamma tubulin",2,43
"IPR002967","Delta tubulin",2,43
"IPR004057","Epsilon tubulin",2,43
"IPR004058","Zeta tubulin",2,43
"IPR000218","Large ribosomal subunit protein uL14",1,44
"IPR005745","Large ribosomal subunit protein uL14, bacterial-type",2,44
"IPR019971","Large ribosomal subunit protein uL14, archaeal",2,44
"IPR000228","RNA 3'-terminal phosphate cyclase",1,45
"IPR016443","RNA 3'-terminal phosphate cyclase type 2",2,45
"IPR017770","RNA 3'-terminal phosphate cyclase type 1",2,45
"IPR000235","Small ribosomal subunit protein uS7",1,46
"IPR005716","Ribosomal protein uS7, eukaryotic/archaeal",2,46
"IPR026018","Small ribosomal subunit protein uS7, archaeal",3,46
"IPR005717","Small ribosomal subunit protein uS7, bacterial/organellar-type",2,46
"IPR034643","Mitochondrial ribosomal protein S7, plants",3,46
"IPR000238","Ribosome-binding factor A",1,47
"IPR039212","Ribosome-binding factor A, mitochondrial",2,47
"IPR000242","Tyrosine-specific protein phosphatase, PTPase domain",1,48
"IPR045905","Receptor-type tyrosine-protein phosphatase delta, PTPase domain, repeat 1",2,48
"IPR045911","Receptor-type tyrosine-protein phosphatase mu, PTPase domain, repeat 1",2,48
"IPR047251","Protein-tyrosine phosphatase non-receptor type-12, catalytic domain",2,48
"IPR047253","Tyrosine-protein phosphatase non-receptor type 22, catalytic domain",2,48
"IPR047254","Tyrosine-protein phosphatase non-receptor type 18, catalytic domain",2,48
"IPR000243","Peptidase T1A, proteasome beta-subunit",1,49
"IPR019983","Peptidase T1A, proteasome beta-subunit, archaeal",2,49
"IPR000244","Large ribosomal subunit protein bL9",1,50
"IPR020594","Large ribosomal subunit protein bL9, bacteria/chloroplast",2,50
"IPR000245","V-ATPase proteolipid subunit",1,51
"IPR011555","V-ATPase proteolipid subunit C, eukaryotic",2,51
"IPR000246","Peptidase T2, asparaginase 2",1,52
"IPR033844","Asparaginase-like 1, metazoa",2,52
"IPR037464","Threonine aspartase 1",2,52
"IPR000248","Angiotensin II receptor family",1,53
"IPR000147","Angiotensin II receptor type 2",2,53
"IPR000190","Angiotensin II receptor type 1",2,53
"IPR000249","Bacterial microcompartment domain",1,54
"IPR044872","CcmK/CsoS1, bacterial microcompartment domain",2,54
"IPR000250","Peptidase G1",1,55
"IPR033863","Scytalidoglutamic peptidase",2,55
"IPR000253","Forkhead-associated (FHA) domain",1,56
"IPR032030","YscD, cytoplasmic domain",2,56
"IPR047398","Forkhead box protein K2, forkhead associated domain",2,56
"IPR049779","Kinesin-like protein KIF1A, forkhead associated domain",2,56
"IPR000257","Uroporphyrinogen decarboxylase (URO-D)",1,57
"IPR006360","Methyltransferase MtaA/CmuA",2,57
"IPR000262","FMN-dependent dehydrogenase",1,58
"IPR037396","FMN hydroxy acid dehydrogenase domain",2,58
"IPR037350","Lactate 2-monooxygenase, FMN-binding domain",3,58
"IPR037458","L-mandelate/L-lactate dehydrogenase, FMN-binding domain",3,58
"IPR000263","Geminivirus AR1/BR1 coat protein",1,59
"IPR000143","Geminivirus MSV 27Kd coat protein",2,59
"IPR000650","Geminivirus AR1 coat protein",2,59
"IPR001530","Geminivirus BR1 coat protein",2,59
"IPR000264","ALB/AFP/VDB",1,60
"IPR000213","Vitamin D-binding protein",2,60
"IPR021177","Serum albumin/Alpha-fetoprotein/Afamin",2,60
"IPR000265","Prostanoid EP3 receptor",1,61
"IPR000154","Prostanoid EP3 receptor type 3",2,61
"IPR001481","Prostanoid EP3 receptor, type 2",2,61
"IPR003304","Prostanoid EP3 receptor, type 1",2,61
"IPR000266","Small ribosomal subunit protein uS17",1,62
"IPR019984","Small ribosomal subunit protein uS17, bacteria/chloroplast",2,62
"IPR028333","Small ribosomal subunit protein uS17, archaeal/eukaryotic",2,62
"IPR019978","Small ribosomal subunit protein uS17, archaeal",3,62
"IPR039193","Small ribosomal subunit protein uS17m, metazoa",2,62
"IPR000270","PB1 domain",1,63
"IPR034851","Dual specificity mitogen-activated protein kinase kinase 5, PB1 domain",2,63
"IPR034852","NBR1, PB1 domain",2,63
"IPR034853","Neutrophil cytosol factor P40, PB1 domain",2,63
"IPR034857","TFG, PB1 domain",2,63
"IPR034866","Sequestosome-1, PB1 domain",2,63
"IPR034868","Partitioning defective protein 6, PB1 domain",2,63
"IPR034877","Protein kinase C, PB1 domain",2,63
"IPR034879","Mitogen-activated protein kinase kinase kinase 2/3, PB1 domain",2,63
"IPR034885","Neutrophil cytosol factor 2, PB1 domain",2,63
"IPR034891","Protein NLP, PB1 domain",2,63
"IPR034892","NADPH oxidase regulator NoxR, PB1 domain",2,63
"IPR000272","Ion-transport regulator, FXYD family",1,64
"IPR047281","Phospholemman",2,64
"IPR047282","Sodium/potassium-transporting ATPase subunit gamma",2,64
"IPR047283","FXYD domain-containing ion transport regulator 4",2,64
"IPR047284","FXYD domain-containing ion transport regulator 7",2,64
"IPR000276","G protein-coupled receptor, rhodopsin-like",1,65
"IPR000018","P2Y purinoceptor 4",2,65
"IPR000025","Melatonin receptor family",2,65
"IPR002278","Melatonin receptor 1A/1B",3,65
"IPR002280","Melatonin-related receptor 1X",3,65
"IPR000142","P2Y purinoceptor 1",2,65
"IPR000204","Orexin receptor family",2,65
"IPR004059","Orexin/Hypocretin receptor type 1",3,65
"IPR004060","Orexin receptor 2",3,65
"IPR000248","Angiotensin II receptor family",2,65
"IPR000147","Angiotensin II receptor type 2",3,65
"IPR000190","Angiotensin II receptor type 1",3,65
"IPR000355","Chemokine receptor family",2,65
"IPR000174","CXC chemokine receptor 1/2",3,65
"IPR000057","CXC chemokine receptor 2",4,65
"IPR001355","CXC chemokine receptor 1",4,65
"IPR001053","CXC chemokine receptor 5",3,65
"IPR001277","CXC chemokine receptor 4/atypical chemokine receptor 2",3,65
"IPR001718","CC chemokine receptor 7",3,65
"IPR002235","CXC chemokine receptor 6",3,65
"IPR002236","CC chemokine receptor 1",3,65
"IPR002237","CC chemokine receptor 2",3,65
"IPR002238","CC chemokine receptor 3",3,65
"IPR002239","CC chemokine receptor 4",3,65
"IPR002240","CC chemokine receptor 5",3,65
"IPR004067","CC chemokine receptor 6",3,65
"IPR004068","CC chemokine receptor 8",3,65
"IPR004069","CC chemokine receptor 9",3,65
"IPR004070","CXC chemokine receptor 3",3,65
"IPR005382","CC chemokine receptor 10",3,65
"IPR005383","Atypical chemokine receptor 4",3,65
"IPR000356","P2Y2 purinoceptor",2,65
"IPR000371","P2Y3 purinoceptor",2,65
"IPR000405","Galanin receptor family",2,65
"IPR003906","Galanin receptor 1",3,65
"IPR003907","Galanin receptor 2",3,65
"IPR003908","Galanin receptor 3",3,65
"IPR000496","Bradykinin receptor family",2,65
"IPR001186","Bradykinin receptor B1",3,65
"IPR001504","Bradykinin receptor B2",3,65
"IPR000499","Endothelin receptor family",2,65
"IPR001112","Endothelin receptor B",3,65
"IPR002175","Endothelin receptor A",3,65
"IPR000503","Histamine H2 receptor",2,65
"IPR000586","Somatostatin receptor family",2,65
"IPR001116","Somatostatin receptor 1",3,65
"IPR001184","Somatostatin receptor 5",3,65
"IPR001512","Somatostatin receptor 4",3,65
"IPR001856","Somatostatin receptor 3",3,65
"IPR002074","Somatostatin receptor 2",3,65
"IPR000611","Neuropeptide Y receptor family",2,65
"IPR000351","Neuropeptide Y1 receptor",3,65
"IPR000393","Neuropeptide Y5 receptor",3,65
"IPR000986","Neuropeptide Y6 receptor",3,65
"IPR001358","Neuropeptide Y2 receptor",3,65
"IPR001933","Neuropeptide Y4 receptor",3,65
"IPR000670","Urotensin II receptor",2,65
"IPR000723","G protein-coupled receptor 3/6/12 orphan",2,65
"IPR000599","G protein-coupled receptor 12",3,65
"IPR000984","G protein-coupled receptor 3",3,65
"IPR001151","G protein-coupled receptor 6",3,65
"IPR000725","Olfactory receptor",2,65
"IPR047132","Olfactory receptor subfamily 6C-like",3,65
"IPR047940","Olfactory receptor 1330-like",3,65
"IPR000820","Proto-oncogene Mas",2,65
"IPR000826","Formyl peptide receptor-related",2,65
"IPR002234","Anaphylatoxin chemotactic receptor, C3a/C5a1/C5a2",3,65
"IPR001644","C3a anaphylatoxin chemotactic receptor",4,65
"IPR002258","Chemerin-like receptor 1",3,65
"IPR000921","Histamine H1 receptor",2,65
"IPR000929","Dopamine receptor family",2,65
"IPR000497","Dopamine D5 receptor",3,65
"IPR001413","Dopamine D1 receptor",3,65
"IPR001620","Dopamine D3 receptor",3,65
"IPR001922","Dopamine D2 receptor",3,65
"IPR002185","Dopamine D4 receptor",3,65
"IPR000995","Muscarinic acetylcholine receptor family",2,65
"IPR000502","Muscarinic acetylcholine receptor M5",3,65
"IPR001065","Muscarinic acetylcholine receptor M2",3,65
"IPR001183","Muscarinic acetylcholine receptor M3",3,65
"IPR001432","Muscarinic acetylcholine receptor M4",3,65
"IPR002228","Muscarinic acetylcholine receptor M1",3,65
"IPR001069","5-Hydroxytryptamine 7 receptor",2,65
"IPR001350","G10D orphan receptor",2,65
"IPR001402","Prolactin-releasing peptide receptor",2,65
"IPR001418","Opioid receptor",2,65
"IPR000105","Mu opioid receptor",3,65
"IPR000321","Delta opioid receptor",3,65
"IPR000452","Kappa opioid receptor",3,65
"IPR001420","X opioid receptor",3,65
"IPR001520","5-Hydroxytryptamine 4 receptor",2,65
"IPR001556","Bombesin receptor-like",2,65
"IPR000401","[Phe13]-bombesin receptor",3,65
"IPR001560","Bombesin receptor type 3",3,65
"IPR001642","Neuromedin B receptor",3,65
"IPR001966","Gastrin-releasing peptide receptor",3,65
"IPR001634","Adenosine receptor",2,65
"IPR000466","Adenosine A3 receptor",3,65
"IPR001068","Adenosine A1 receptor",3,65
"IPR001435","Adenosine A2B receptor",3,65
"IPR001513","Adenosine A2A receptor",3,65
"IPR001658","Gonadotrophin-releasing hormone receptor family",2,65
"IPR001671","Melanocortin/ACTH receptor",2,65
"IPR000761","Melanocyte-stimulating hormone receptor",3,65
"IPR001168","Adrenocorticotrophin (ACTH) receptor",3,65
"IPR001908","Melanocortin receptor 3-5",3,65
"IPR000155","Melanocortin 4 receptor",4,65
"IPR000621","Melanocortin 5 receptor",4,65
"IPR002122","Melanocortin 3 receptor",4,65
"IPR001681","Neurokinin receptor",2,65
"IPR000046","Neurokinin NK1 receptor",3,65
"IPR000913","Neurokinin NK2 receptor",3,65
"IPR001013","Neurokinin NK3 receptor",3,65
"IPR001760","Opsin",2,65
"IPR000378","Opsin red/green sensitive",3,65
"IPR000732","Rhodopsin",3,65
"IPR001391","Opsin lateral eye type",3,65
"IPR001521","Opsin, blue sensitive",3,65
"IPR001735","Opsin RH1/RH2",3,65
"IPR002206","Opsin, pineal type",3,65
"IPR001793","Retinal pigment epithelium GPCR",2,65
"IPR001817","Vasopressin receptor",2,65
"IPR000161","Vasopressin V2 receptor",3,65
